;China;France;Germany;Iran;Italy;Korea, South;Norway;Spain;US;United Kingdom
2020-03-30;82198.0;45170.0;66885.0;41495.0;101739.0;9661.0;4445.0;87956.0;161831.0;22453.0
2020-03-31;82279.0;52827.0;71808.0;44605.0;105792.0;9786.0;4641.0;95923.0;188172.0;25481.0
2020-04-01;82361.0;57749.0;77872.0;47593.0;110574.0;9887.0;4863.0;104118.0;213242.0;29865.0
2020-04-02;82432.0;59929.0;84794.0;50468.0;115242.0;9976.0;5147.0;112065.0;243622.0;34173.0
2020-04-03;82511.0;65202.0;91159.0;53183.0;119827.0;10062.0;5370.0;119199.0;275367.0;38689.0
2020-04-04;82543.0;69500.0;96092.0;55743.0;124632.0;10156.0;5550.0;126168.0;308650.0;42477.0
2020-04-05;82602.0;71412.0;100123.0;58226.0;128948.0;10237.0;5687.0;131646.0;336802.0;48436.0
2020-04-06;82665.0;75343.0;103374.0;60500.0;132547.0;10284.0;5865.0;136675.0;366317.0;52279.0
2020-04-07;82718.0;79163.0;107663.0;62589.0;135586.0;10331.0;6086.0;141942.0;397121.0;55949.0
2020-04-08;82809.0;83057.0;113296.0;64586.0;139422.0;10384.0;6086.0;148220.0;428654.0;61474.0
2020-04-09;82883.0;87366.0;118181.0;66220.0;143626.0;10423.0;6211.0;153222.0;462780.0;65872.0
2020-04-10;82941.0;91738.0;122171.0;68192.0;147577.0;10450.0;6314.0;158273.0;496535.0;74605.0
2020-04-11;83014.0;94863.0;124908.0;70029.0;152271.0;10480.0;6409.0;163027.0;526396.0;79874.0
2020-04-12;83134.0;121712.0;127854.0;71686.0;156363.0;10512.0;6525.0;166831.0;555313.0;85206.0
2020-04-13;83213.0;125394.0;130072.0;73303.0;159516.0;10537.0;6603.0;170099.0;580619.0;89570.0
2020-04-14;83306.0;130365.0;131359.0;74877.0;162488.0;10564.0;6623.0;172541.0;607670.0;94845.0
2020-04-15;83356.0;133585.0;134753.0;76389.0;165155.0;10591.0;6740.0;177644.0;636350.0;99483.0
2020-04-16;83403.0;146075.0;137698.0;77995.0;168941.0;10613.0;6896.0;184948.0;667592.0;104145.0
2020-04-17;83760.0;148084.0;141397.0;79494.0;172434.0;10635.0;6937.0;190839.0;699706.0;109769.0
2020-04-18;83787.0;148086.0;143342.0;80868.0;175925.0;10653.0;7036.0;191726.0;732197.0;115314.0
2020-04-19;83805.0;153011.0;145184.0;82211.0;178972.0;10661.0;7078.0;198674.0;758809.0;121172.0
2020-04-20;83817.0;155393.0;147065.0;83505.0;181228.0;10674.0;7156.0;200210.0;784326.0;125856.0
2020-04-21;83853.0;158168.0;148291.0;84802.0;183957.0;10683.0;7191.0;204178.0;811865.0;130172.0
2020-04-22;83868.0;155980.0;150648.0;85996.0;187327.0;10694.0;7338.0;208389.0;840351.0;134638.0
2020-04-23;83884.0;158303.0;153129.0;87026.0;189973.0;10708.0;7401.0;213024.0;869170.0;139246.0
2020-04-24;83899.0;159952.0;154999.0;88194.0;192994.0;10718.0;7463.0;219764.0;905358.0;144640.0
2020-04-25;83909.0;161644.0;156513.0;89328.0;195351.0;10728.0;7499.0;223759.0;938154.0;149569.0
2020-04-26;83912.0;162220.0;157770.0;90481.0;197675.0;10738.0;7527.0;226629.0;965785.0;154037.0
2020-04-27;83918.0;165963.0;158758.0;91472.0;199414.0;10752.0;7599.0;229422.0;988197.0;158348.0
2020-04-28;83940.0;169053.0;159912.0;92584.0;201505.0;10761.0;7660.0;232128.0;1012582.0;162350.0
